gc_rank,rider_name,team_name,bonus_sec,gap_time,total_time
1,Pogačar Tadej,UAE Team Emirates - XRG,00:00:52,76:00:32,76:00:32
2,Vingegaard Jonas,Team Visma | Lease a Bike,00:00:34,00:04:24,76:04:56
3,Lipowitz Florian,Red Bull - BORA - hansgrohe,00:00:04,00:11:00,76:11:32
4,Onley Oscar,Team Picnic PostNL,00:00:04,00:12:12,76:12:44
5,Gall Felix,Decathlon AG2R La Mondiale Team,,00:17:12,76:17:44
6,Johannessen Tobias Halland,Uno-X Mobility,,00:20:14,76:20:46
7,Vauquelin Kévin,Arkéa - B&B Hotels,,00:22:35,76:23:07
8,Roglič Primož,Red Bull - BORA - hansgrohe,,00:25:30,76:26:02
9,Healy Ben,EF Education - EasyPost,00:00:20,00:28:02,76:28:34
10,Jegat Jordan,Team TotalEnergies,,00:32:42,76:33:14
11,O'Connor Ben,Team Jayco AlUla,00:00:10,00:34:34,76:35:06
12,Arensman Thymen,INEOS Grenadiers,00:00:26,00:52:41,76:53:13
13,Narváez Jhonatan,UAE Team Emirates - XRG,,01:04:36,77:05:08
14,Higuita Sergio,XDS Astana Team,,01:08:19,77:08:51
15,Yates Simon,Team Visma | Lease a Bike,00:00:10,01:17:30,77:18:02
16,Martin Guillaume,Groupama - FDJ,,01:18:07,77:18:39
17,Kuss Sepp,Team Visma | Lease a Bike,,01:20:24,77:20:56
18,Mühlberger Gregor,Movistar Team,,01:28:17,77:28:49
19,Jorgenson Matteo,Team Visma | Lease a Bike,,01:29:28,77:30:00
20,Rodríguez Cristián,Arkéa - B&B Hotels,,01:36:15,77:36:47
21,Madouas Valentin,Groupama - FDJ,,01:39:46,77:40:18
22,Meurisse Xandro,Alpecin - Deceuninck,,01:43:46,77:44:18
23,Barguil Warren,Team Picnic PostNL,,01:48:09,77:48:41
24,Yates Adam,UAE Team Emirates - XRG,,01:48:41,77:49:13
25,Paret-Peintre Aurélien,Decathlon AG2R La Mondiale Team,,02:12:52,78:13:24
26,García Pierna Raúl,Arkéa - B&B Hotels,,02:15:58,78:16:30
27,Vlasov Aleksandr,Red Bull - BORA - hansgrohe,,02:16:15,78:16:47
28,Campenaerts Victor,Team Visma | Lease a Bike,00:00:06,02:20:36,78:21:08
29,Soler Marc,UAE Team Emirates - XRG,,02:21:01,78:21:33
30,Buchmann Emanuel,Cofidis,,02:21:34,78:22:06
31,Rubio Einer,Movistar Team,,02:21:56,78:22:28
32,Van Wilder Ilan,Soudal Quick-Step,,02:23:14,78:23:46
33,Scotson Callum,Decathlon AG2R La Mondiale Team,,02:25:40,78:26:12
34,Grégoire Romain,Groupama - FDJ,,02:25:58,78:26:30
35,Sweeny Harry,EF Education - EasyPost,,02:27:58,78:28:30
36,Berthet Clément,Decathlon AG2R La Mondiale Team,,02:32:50,78:33:22
37,Wellens Tim,UAE Team Emirates - XRG,00:00:10,02:38:24,78:38:56
38,Velasco Simone,XDS Astana Team,,02:41:31,78:42:03
