white_rank,rider_name,team_name,gap_time,total_time
1,Lipowitz Florian,Red Bull - BORA - hansgrohe,76:11:32,76:11:32
2,Onley Oscar,Team Picnic PostNL,0:01:12,76:12:44
3,Vauquelin Kévin,Arkéa - B&B Hotels,0:11:35,76:23:07
4,Healy Ben,EF Education - EasyPost,0:17:02,76:28:34
5,García Pierna Raúl,Arkéa - B&B Hotels,2:04:58,78:16:30
6,Van Wilder Ilan,Soudal Quick-Step,2:12:14,78:23:46
7,Grégoire Romain,Groupama - FDJ,2:14:58,78:26:30
8,van den Broek Frank,Team Picnic PostNL,2:34:44,78:46:16
9,Paret-Peintre Valentin,Soudal Quick-Step,2:36:05,78:47:37
10,Baudin Alex,EF Education - EasyPost,2:45:15,78:56:47
11,Blackmore Joseph,Israel - Premier Tech,2:48:04,78:59:36
12,Costiou Ewen,Arkéa - B&B Hotels,2:55:35,79:07:07
13,Laurance Axel,INEOS Grenadiers,2:59:10,79:10:42
14,Simmons Quinn,Lidl - Trek,3:06:36,79:18:08
15,Gachignard Thomas,Team TotalEnergies,3:12:14,79:23:46
16,Le Berre Mathis,Arkéa - B&B Hotels,3:14:28,79:26:00
17,Verstrynge Emiel,Alpecin - Deceuninck,3:17:01,79:28:33
18,Berckmoes Jenno,Lotto,3:22:12,79:33:44
19,Tronchon Bastien,Decathlon AG2R La Mondiale Team,3:35:36,79:47:08
20,Martinez Lenny,Bahrain - Victorious,3:38:05,79:49:37
21,Barré Louis,Intermarché - Wanty,3:40:34,79:52:06
22,Mayrhofer Marius,Tudor Pro Cycling Team,3:42:18,79:53:50
23,Pithie Laurence,Red Bull - BORA - hansgrohe,3:43:44,79:55:16
24,Andresen Tobias Lund,Team Picnic PostNL,3:55:51,80:07:23
25,Romeo Iván,Movistar Team,4:22:49,80:34:21
26,Castrillo Pablo,Movistar Team,4:31:51,80:43:23
27,Penhoët Paul,Groupama - FDJ,4:33:44,80:45:16
28,van Dijke Mick,Red Bull - BORA - hansgrohe,4:35:50,80:47:22
29,Watson Samuel,INEOS Grenadiers,4:39:14,80:50:46
30,Nys Thibau,Lidl - Trek,4:39:42,80:51:14
31,Plapp Luke,Team Jayco AlUla,4:51:34,81:03:06
32,Vercher Mattéo,Team TotalEnergies,4:55:33,81:07:05
33,Askey Lewis,Groupama - FDJ,4:59:40,81:11:12
34,Girmay Biniam,Intermarché - Wanty,5:03:55,81:15:27
35,Bittner Pavel,Team Picnic PostNL,5:06:44,81:18:16
36,Flynn Sean,Team Picnic PostNL,5:07:13,81:18:45
37,Page Hugo,Intermarché - Wanty,5:13:23,81:24:55
38,Fredheim Stian,Uno-X Mobility,5:15:41,81:27:13
39,De Lie Arnaud,Lotto,5:18:35,81:30:07
40,Braet Vito,Intermarché - Wanty,5:21:04,81:32:36
41,Milan Jonathan,Lidl - Trek,5:24:35,81:36:07
42,van Sintmaartensdijk Roel,Intermarché - Wanty,5:33:11,81:44:43
