team_name,team_abbr,team_class
Alpecin - Deceuninck,ADC,UCI WorldTeam
Arkéa - B&B Hotels,ARK,UCI WorldTeam
Bahrain - Victorious,TBV,UCI WorldTeam
Cofidis,COF,UCI WorldTeam
Decathlon AG2R La Mondiale Team,DAT,UCI WorldTeam
EF Education - EasyPost,EFE,UCI WorldTeam
Groupama - FDJ,GFC,UCI WorldTeam
INEOS Grenadiers,IGD,UCI WorldTeam
Intermarché - Wanty,IWA,UCI WorldTeam
Israel - Premier Tech,IPT,UCI ProTeam
Lidl - Trek,LTK,UCI WorldTeam
Lotto,LOT,UCI ProTeam
Movistar Team,MOV,UCI WorldTeam
Red Bull - BORA - hansgrohe,RBH,UCI WorldTeam
Soudal Quick-Step,SOQ,UCI WorldTeam
Team Jayco AlUla,JAY,UCI WorldTeam
Team Picnic PostNL,TPP,UCI WorldTeam
Team TotalEnergies,TEN,UCI ProTeam
Team Visma | Lease a Bike,TVL,UCI WorldTeam
Tudor Pro Cycling Team,TUD,UCI ProTeam
UAE Team Emirates - XRG,UAD,UCI WorldTeam
Uno-X Mobility,UXM,UCI ProTeam
XDS Astana Team,XAT,UCI WorldTeam
